url,Property ID,Price,State of the property,Availability,Number of bedrooms,Livable surface,Furnished,Attic,Garage,Number of garages,Kitchen equipment,Kitchen type,Number of bathrooms,Number of showers,Number of toilets,Type of heating,Type of glazing,Elevator,Number of facades,Garden,Surface garden,Terrace,Surface terrace,Total land surface,Swimming pool,type,postal_code,city,Region,province,price_per_sqm,Price_per_sqm_land
https://immovlan.be/en/detail/commercial-building/for-sale/1800/vilvoorde/rbu66908,rbu66908,150000.0,,On contract,,,,,,,,,,,,,Double glass,,,,,1.0,34.0,,,commercial-building,1800,vilvoorde,Flanders,Flemish Brabant,,
https://immovlan.be/en/detail/residence/for-sale/6700/arlon/vbd16229,vbd16229,310000.0,To be renovated,,3.0,146.0,0.0,1.0,1.0,1.0,,,1.0,1.0,3.0,Fuel oil,,0.0,2.0,1.0,267.0,1.0,,267.0,,residence,6700,arlon,Wallonia,Luxembourg,2123.2876712328766,1161.0486891385767
https://immovlan.be/en/detail/apartment/for-sale/7000/mons/vbd32597,vbd32597,320000.0,New,,3.0,110.0,,,,,,,,,,,,1.0,2.0,0.0,,1.0,50.0,,,apartment,7000,mons,Wallonia,Hainaut,2909.090909090909,
https://immovlan.be/en/detail/land/for-sale/6950/nassogne/vbd36859,vbd36859,75000.0,,,,,,,,,,,,,,,,,,,,,,694.0,,land,6950,nassogne,Wallonia,Luxembourg,,108.06916426512969
https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt30063,rbt30063,275000.0,Normal,,1.0,62.0,0.0,,,,Fully equipped,Western kitchen,1.0,,1.0,Gas,Double glass,1.0,2.0,,,1.0,,,0.0,apartment,1500,halle,Flanders,Flemish Brabant,4435.4838709677415,
https://immovlan.be/en/detail/apartment/for-sale/1654/huizingen/rbu60363,rbu60363,360000.0,,,2.0,110.0,,,,,,,1.0,,,,Double glass,1.0,2.0,1.0,,1.0,18.0,,,apartment,1654,huizingen,Flanders,Flemish Brabant,3272.7272727272725,
https://immovlan.be/en/detail/apartment/for-sale/2440/geel/rbu66861,rbu66861,195000.0,Excellent,,1.0,59.0,,,,,,,1.0,,,Gas,,,4.0,,,1.0,24.0,,,apartment,2440,geel,Flanders,Antwerp,3305.084745762712,
https://immovlan.be/en/detail/residence/for-sale/3530/houthalen-helchteren/rbu65967,rbu65967,449000.0,,On contract,3.0,359.0,,,1.0,,Super equipped,,1.0,,,Gas,Double glass,,4.0,1.0,,1.0,,6932.0,,residence,3530,houthalen-helchteren,Flanders,Limburg,1250.6963788300836,64.77207155222158
https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbi57522,rbi57522,262000.0,New,,1.0,82.0,,,,,Fully equipped,,1.0,,,,,1.0,,,,1.0,10.0,,,apartment,1500,halle,Flanders,Flemish Brabant,3195.121951219512,
https://immovlan.be/en/detail/villa/for-sale/6470/sivry-rance/vbd38998,vbd38998,797000.0,Excellent,On contract,5.0,350.0,0.0,,1.0,1.0,Super equipped,,2.0,,3.0,Fuel oil,Double glass,0.0,4.0,1.0,5747.0,1.0,130.0,6145.0,1.0,villa,6470,sivry-rance,Wallonia,Hainaut,2277.1428571428573,129.69894222945484
https://immovlan.be/en/detail/apartment/for-sale/8610/kortemark/rbu65544,rbu65544,285845.0,New,,2.0,91.0,,,1.0,,,,1.0,,,,,1.0,2.0,1.0,,1.0,,,,apartment,8610,kortemark,Flanders,West Flanders,3141.153846153846,
https://immovlan.be/en/detail/apartment/for-sale/2580/beerzel/rbu65671,rbu65671,315000.0,New,,2.0,90.0,,,1.0,,,,1.0,,1.0,,Double glass,1.0,,1.0,,1.0,,,,apartment,2580,beerzel,Flanders,Antwerp,3500.0,
https://immovlan.be/en/detail/land/for-sale/9600/ronse/rbu60077,rbu60077,180000.0,,,,,,,,,,,,,,,,,,,,,,1514.0,,land,9600,ronse,Flanders,East Flanders,,118.89035667107001
https://immovlan.be/en/detail/residence/for-sale/9800/deinze/rbu42298,rbu42298,521200.0,,,3.0,175.0,,1.0,1.0,,,,1.0,,2.0,,,,,1.0,53.0,1.0,12.0,,,residence,9800,deinze,Flanders,East Flanders,2978.285714285714,
https://immovlan.be/en/detail/commercial-building/for-sale/1570/galmaarden/rbu50976,rbu50976,499000.0,,,4.0,,,,,,,,2.0,,1.0,Gas,,,,,,,,345.0,,commercial-building,1570,galmaarden,Flanders,Flemish Brabant,,1446.376811594203
https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc73805,vbc73805,189000.0,New,,1.0,56.0,0.0,,,,,,1.0,,1.0,,,1.0,2.0,0.0,,1.0,6.0,,,apartment,4800,verviers,Wallonia,Namur,3375.0,
https://immovlan.be/en/detail/land/for-sale/6230/pont-a-celles/vbd49230,vbd49230,65000.0,,On contract,,,,,,,,,,,,,,,,,,,,460.0,,land,6230,pont-a-celles,Wallonia,Hainaut,,141.30434782608697
https://immovlan.be/en/detail/ground-floor/for-sale/4031/angleur/vbd49903,vbd49903,,New,,2.0,70.0,0.0,,,,,,1.0,,,,Double glass,1.0,2.0,,,1.0,16.0,,,ground-floor,4031,angleur,Wallonia,Liege,,
https://immovlan.be/en/detail/residence/for-sale/3630/maasmechelen/rbu58870,rbu58870,490000.0,Normal,,3.0,150.0,,,,,,,1.0,,,,,,4.0,1.0,,1.0,,500.0,,residence,3630,maasmechelen,Flanders,Limburg,3266.6666666666665,980.0
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd48122,vbd48122,790000.0,New,,3.0,130.0,0.0,,1.0,1.0,Super equipped,,2.0,,2.0,Hot air,Double glass,1.0,4.0,0.0,,1.0,17.0,,0.0,apartment,1200,sint-lambrechts-woluwe,Brussels,Brussels,6076.923076923077,
https://immovlan.be/en/detail/apartment/for-sale/5030/gembloux/vbd40110,vbd40110,399000.0,New,,2.0,105.0,0.0,,1.0,,,Independent,,,,Hot air,Double glass,1.0,,1.0,25.0,1.0,12.0,,,apartment,5030,gembloux,Wallonia,Namur,3800.0,
https://immovlan.be/en/detail/residence/for-sale/9308/gijzegem/rbu59394,rbu59394,369000.0,Excellent,On contract,4.0,192.0,,1.0,,,Super equipped,,1.0,1.0,1.0,Gas,Double glass,,2.0,1.0,85.0,1.0,30.0,230.0,,residence,9308,gijzegem,Flanders,East Flanders,1921.875,1604.3478260869565
https://immovlan.be/en/detail/apartment/for-sale/2800/mechelen/rbu65677,rbu65677,298000.0,Excellent,,2.0,88.0,,,,,,,1.0,,1.0,Gas,Double glass,1.0,2.0,0.0,,0.0,,,,apartment,2800,mechelen,Flanders,Antwerp,3386.3636363636365,
https://immovlan.be/en/detail/residence/for-sale/7041/givry/vbb39998,vbb39998,339000.0,New,From 01/09/2026,3.0,141.0,0.0,,1.0,1.0,Not equipped,,1.0,1.0,,Not specified,,0.0,3.0,1.0,,1.0,,432.0,,residence,7041,givry,Wallonia,Hainaut,2404.255319148936,784.7222222222222
https://immovlan.be/en/detail/apartment/for-sale/2620/hemiksem/rbu60757,rbu60757,249000.0,Normal,,3.0,88.0,,0.0,,,,,1.0,,,Gas,Double glass,1.0,,0.0,,1.0,8.0,,,apartment,2620,hemiksem,Flanders,Antwerp,2829.5454545454545,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbd34802,vbd34802,106000.0,Normal,,1.0,76.0,0.0,,,,,,,1.0,1.0,Fuel oil,,1.0,,0.0,,1.0,1.0,,,apartment,6000,charleroi,Wallonia,Hainaut,1394.7368421052631,
https://immovlan.be/en/detail/industrial-building/for-sale/8000/brugge/rbu66785,rbu66785,665528.0,New,,,,,,,,,Independent,,,1.0,Not specified,Double glass,0.0,,,,,,411.0,,industrial-building,8000,brugge,Flanders,West Flanders,,1619.2895377128955
https://immovlan.be/en/detail/apartment/for-sale/2840/rumst/rbu62600,rbu62600,317900.0,,,2.0,92.0,,,,,,,1.0,,1.0,,,,,0.0,,1.0,30.0,,,apartment,2840,rumst,Flanders,Antwerp,3455.4347826086955,
https://immovlan.be/en/detail/commercial-building/for-sale/1000/brussels/vbd47313,vbd47313,110000.0,,,,,,,,,,,,,1.0,Not specified,,0.0,,,,,,,,commercial-building,1000,brussels,Brussels,Brussels,,
https://immovlan.be/en/detail/garage/for-sale/8620/nieuwpoort/rbu58978,rbu58978,35000.0,,On contract,,,,,,,,,,,,,,,,,,,,20.0,,garage,8620,nieuwpoort,Flanders,West Flanders,,1750.0
https://immovlan.be/en/detail/residence/for-sale/3550/heusden-zolder/rbu58849,rbu58849,399000.0,,,3.0,148.0,0.0,,,,,,1.0,,,Hot air,,,3.0,1.0,,1.0,,595.0,,residence,3550,heusden-zolder,Flanders,Limburg,2695.945945945946,670.5882352941177
https://immovlan.be/en/detail/residence/for-sale/2580/putte/vbd48955,vbd48955,568373.0,New,,3.0,165.0,,,1.0,1.0,,,1.0,,2.0,,,,4.0,,,,,760.0,,residence,2580,putte,Flanders,Antwerp,3444.6848484848483,747.8592105263158
https://immovlan.be/en/detail/residence/for-sale/1341/ceroux-mousty/vbd21310,vbd21310,350000.0,To be renovated,Immediately,3.0,149.0,0.0,,1.0,1.0,,,,1.0,1.0,Fuel oil,,0.0,4.0,1.0,,1.0,,840.0,,residence,1341,ceroux-mousty,Wallonia,Walloon Brabant,2348.993288590604,416.6666666666667
https://immovlan.be/en/detail/residence/for-sale/8710/ooigem/rbu61023,rbu61023,849000.0,Normal,On contract,5.0,,0.0,1.0,1.0,1.0,,,2.0,,4.0,Not specified,,0.0,4.0,1.0,,0.0,,1330.0,,residence,8710,ooigem,Flanders,West Flanders,,638.3458646616541
