Property ID,Price,State of the property,Number of bedrooms,Livable surface,Garage,Number of garages,Type of heating,Type of glazing,Elevator,Garden,Terrace,Surface terrace,Total land surface,Swimming pool,type,postal_code,city,Region,province,main_type,price_per_sqm,Price_per_sqm_land
vbd28587,268000.0,New,1.0,66.0,,,Gas,Double glass,1.0,0.0,1.0,5.0,,,apartment,1348,louvain-la-neuve,Wallonia,Brabant Walloon,apartment,4060.6060606060605,
vbd19461,329000.0,New,3.0,152.0,1.0,,Hot air,,0.0,1.0,1.0,30.0,845.0,0.0,residence,4317,faimes,Wallonia,Liege,house,2164.4736842105262,389.3491124260355
vbd43224,285000.0,New,2.0,96.0,,,Not specified,,,1.0,1.0,9.0,,,apartment,5060,sambreville,Wallonia,Namur,apartment,2968.75,
vbd40724,250000.0,Normal,5.0,261.0,1.0,1.0,Electricity,Double glass,0.0,1.0,1.0,20.0,136.0,0.0,residence,5550,bohan,Wallonia,Namur,house,957.8544061302682,1838.235294117647
rbu61335,768000.0,New,3.0,226.0,1.0,,Hot air,Double glass,0.0,1.0,1.0,28.0,538.0,0.0,residence,9070,destelbergen,Flanders,East Flanders,house,3398.2300884955753,1427.5092936802973
rbu64888,435000.0,New,3.0,146.0,1.0,1.0,Hot air,Double glass,1.0,0.0,1.0,29.0,,0.0,ground-floor,9940,sleidinge,Flanders,East Flanders,apartment,2979.4520547945203,
vbd33522,285000.0,,4.0,,1.0,,Gas,Double glass,,1.0,1.0,,375.0,,residence,5002,saint-servais,Wallonia,Namur,house,,760.0
rbu50943,645000.0,To be renovated,3.0,296.0,,,Fuel oil,,0.0,1.0,0.0,,1296.0,,mixed-building,3390,tielt-winge,Flanders,Brabant Flemish,house,2179.054054054054,497.68518518518516
rbu37082,320000.0,,2.0,90.0,,,,,1.0,1.0,1.0,,,,apartment,8400,oostende,Flanders,West Flanders,apartment,3555.5555555555557,
vbd28499,665000.0,New,2.0,110.0,,,,Double glass,1.0,,1.0,25.0,,,apartment,1160,oudergem,Brussels,Brussels,apartment,6045.454545454545,
rbu65545,465000.0,New,4.0,,,,,,,1.0,,,439.0,,investment-property,8610,kortemark,Flanders,West Flanders,investment property,,1059.2255125284737
vbb32468,350000.0,To be renovated,4.0,180.0,,,Fuel oil,,0.0,1.0,1.0,8.0,162.0,,residence,1400,nivelles,Wallonia,Brabant Walloon,house,1944.4444444444443,2160.4938271604938
vbd45384,480000.0,,3.0,102.0,1.0,,Not specified,,1.0,0.0,1.0,10.0,,,apartment,1050,elsene,Brussels,Brussels,apartment,4705.882352941177,
rbu60235,549000.0,,3.0,202.0,1.0,1.0,Gas,,,1.0,1.0,,786.0,,residence,3650,dilsen-stokkem,Flanders,Limburg,house,2717.8217821782177,698.4732824427481
vbd48947,346354.0,New,3.0,128.0,,,,,,1.0,,,696.0,,residence,4682,heure-le-romain,Wallonia,Namur,house,2705.890625,497.63505747126436
vbd49815,250000.0,Normal,1.0,90.0,1.0,,Gas,Double glass,,0.0,0.0,,325.0,,residence,4680,oupeye,Wallonia,Namur,house,2777.777777777778,769.2307692307693
vbd46752,265000.0,Excellent,3.0,85.0,1.0,,Fuel oil,Triple glass,,0.0,0.0,,,,apartment,1830,machelen,Flanders,Brabant Flemish,apartment,3117.6470588235293,
vbd38665,125000.0,Normal,2.0,91.0,,,Gas,Double glass,0.0,0.0,0.0,,,0.0,duplex,5500,dinant,Wallonia,Namur,apartment,1373.6263736263736,
vbd49847,160000.0,To renovate,0.0,45.0,,,Gas,Double glass,0.0,0.0,1.0,22.0,,0.0,studio,1090,jette,Brussels,Brussels,apartment,3555.5555555555557,
rbu35191,372000.0,New,2.0,103.0,1.0,,,,1.0,0.0,1.0,17.0,,,apartment,3290,diest,Flanders,Brabant Flemish,apartment,3611.650485436893,
vwd15501,1350000.0,Excellent,0.0,,,,Gas,Double glass,,1.0,1.0,10.0,137.0,,office-space,1180,ukkel,Brussels,Brussels,business,,9854.014598540147
vbd25484,240000.0,,,,,,Not specified,,0.0,,,,430.0,,industrial-building,1435,mont-saint-guibert,Wallonia,Brabant Walloon,business,,558.1395348837209
rbu55444,2750000.0,,,,,,,,0.0,,,,28105.0,,business-surface,3600,genk,Flanders,Limburg,business,,97.84735812133073
rbu58423,390413.0,New,3.0,183.0,,,,,0.0,1.0,1.0,20.0,180.0,,residence,2200,noorderwijk,Flanders,Antwerp,house,2133.4043715846997,2168.961111111111
vbd34934,429000.0,New,3.0,114.0,,,,Double glass,1.0,0.0,1.0,12.0,,0.0,apartment,1490,court-saint-etienne,Wallonia,Brabant Walloon,apartment,3763.157894736842,
rbu65186,264000.0,,2.0,93.0,1.0,,,,1.0,1.0,1.0,,,,apartment,8630,veurne,Flanders,West Flanders,apartment,2838.7096774193546,
vbd02364,219000.0,New,2.0,91.0,1.0,,,,,,1.0,15.0,,,apartment,6760,virton,Wallonia,Luxembourg,apartment,2406.5934065934066,
vbd47515,170000.0,Normal,3.0,185.0,,,,,,0.0,0.0,,,,mixed-building,4920,aywaille,Wallonia,Namur,house,918.918918918919,
vbd43658,488000.0,New,3.0,117.0,,,,,,1.0,1.0,7.0,,,apartment,1140,evere,Brussels,Brussels,apartment,4170.940170940171,
vbd27998,217000.0,,1.0,55.0,,,Not specified,,0.0,0.0,1.0,13.0,,,apartment,6700,arlon,Wallonia,Luxembourg,apartment,3945.4545454545455,
rbu66697,400000.0,New,2.0,106.0,1.0,,,,1.0,0.0,1.0,28.0,,,apartment,2240,zandhoven,Flanders,Antwerp,apartment,3773.5849056603774,
vbc72567,179000.0,New,1.0,45.0,,,Gas,,1.0,1.0,1.0,6.0,,,apartment,6700,arlon,Wallonia,Luxembourg,apartment,3977.777777777778,
rbs48925,215000.0,New,1.0,71.0,1.0,,Not specified,,1.0,0.0,1.0,,,,apartment,8480,eernegem,Flanders,West Flanders,apartment,3028.169014084507,
vbd47009,229000.0,Excellent,3.0,123.0,,,Gas,,0.0,0.0,1.0,10.0,86.0,,residence,4420,montegnee,Wallonia,Liege,house,1861.7886178861788,2662.7906976744184
vbd37896,199000.0,New,0.0,42.0,,,,,,1.0,0.0,,,,studio,1140,evere,Brussels,Brussels,apartment,4738.0952380952385,
vbd41861,30000.0,,,,,,,,,,,,1530.0,,to-parcel-out-site,5300,andenne,Wallonia,Namur,land,,19.607843137254903
rbu65808,250000.0,,2.0,160.0,1.0,,Gas,Double glass,0.0,1.0,1.0,,521.0,,residence,1500,halle,Flanders,Brabant Flemish,house,1562.5,479.8464491362764
rbu65751,460000.0,,,,,,,,,,,,1769.0,,land,1600,sint-pieters-leeuw,Flanders,Brabant Flemish,land,,260.03391746749577
rbu66764,999999.0,New,1.0,66.0,,,,,1.0,0.0,1.0,11.0,,,apartment,2300,turnhout,Flanders,Antwerp,apartment,15151.5,
rbu46233,275000.0,Normal,2.0,,1.0,1.0,Gas,,0.0,0.0,0.0,,,,apartment,8500,kortrijk,Flanders,West Flanders,apartment,,
rbu61598,205000.0,Excellent,2.0,98.0,,,Gas,Double glass,0.0,0.0,0.0,,,0.0,apartment,7800,ath,Wallonia,Hainaut,apartment,2091.8367346938776,
vbd44625,419000.0,Excellent,3.0,,1.0,1.0,Gas,Double glass,0.0,,1.0,57.0,176.0,,investment-property,5000,namur,Wallonia,Namur,investment property,,2380.681818181818
rbu38558,299000.0,,,,,,,,,,,,573.0,,development-site,8800,rumbeke,Flanders,West Flanders,land,,521.8150087260035
vbd39712,495000.0,Excellent,6.0,,,,,,,1.0,1.0,40.0,,,investment-property,6000,charleroi,Wallonia,Hainaut,investment property,,
vbd42985,385177.0,New,4.0,190.0,,,,,,1.0,,,27.0,,residence,4570,marchin,Wallonia,Namur,house,2027.2473684210527,14265.814814814816
vbd45473,68000.0,,,,,,,,,,,,2068.0,,land,5600,philippeville,Wallonia,Namur,land,,32.88201160541586
rbu66650,285000.0,,3.0,,,,Electricity,,1.0,0.0,1.0,,,,apartment,9120,beveren,Flanders,East Flanders,apartment,,
rbu61828,1650000.0,Excellent,,,,,,Double glass,,,,,944.0,,industrial-building,8000,brugge,Flanders,West Flanders,business,,1747.8813559322034
vbd40046,491818.0,New,3.0,129.0,1.0,,,,1.0,0.0,1.0,52.0,,,apartment,5000,namur,Wallonia,Namur,apartment,3812.5426356589146,
vbd44715,98000.0,,2.0,67.0,,,,,0.0,0.0,0.0,,,,apartment,4800,verviers,Wallonia,Namur,apartment,1462.686567164179,
vbd28720,264000.0,New,1.0,61.0,,,Gas,Double glass,1.0,0.0,1.0,7.0,,1.0,apartment,1348,louvain-la-neuve,Wallonia,Brabant Walloon,apartment,4327.868852459016,
vbd42629,795000.0,Normal,4.0,210.0,1.0,2.0,Fuel oil,,0.0,1.0,1.0,,1285.0,,residence,1325,chaumont-gistoux,Wallonia,Brabant Walloon,house,3785.714285714286,618.6770428015565
vbb75999,188000.0,New,1.0,60.0,1.0,,Gas,Double glass,,0.0,1.0,,,,apartment,4620,fleron,Wallonia,Namur,apartment,3133.3333333333335,
vbc01515,279400.0,,2.0,106.0,,,,,,0.0,1.0,8.0,,,apartment,6460,chimay,Wallonia,Hainaut,apartment,2635.8490566037735,
vbb21578,326383.0,New,3.0,140.0,1.0,,Fuel oil,,0.0,1.0,0.0,,,,residence,5350,ohey,Wallonia,Namur,house,2331.307142857143,
rbu62200,198700.0,Normal,1.0,56.0,1.0,1.0,Gas,Double glass,,0.0,0.0,,,,apartment,2550,kontich,Flanders,Antwerp,apartment,3548.214285714286,
vbd11755,299000.0,To be renovated,3.0,110.0,,,Gas,,0.0,0.0,1.0,,,,apartment,1410,waterloo,Wallonia,Brabant Walloon,apartment,2718.181818181818,
vbd47584,425000.0,New,3.0,121.0,1.0,,,Double glass,1.0,1.0,1.0,13.0,,0.0,penthouse,1082,berchem-sainte-agathe,Brussels,Brussels,apartment,3512.396694214876,
vba87241,344000.0,New,3.0,139.0,,,Gas,Double glass,1.0,,1.0,17.0,,,apartment,4000,liege,Wallonia,Liege,apartment,2474.820143884892,
vbd47406,385000.0,,3.0,145.0,1.0,1.0,Fuel oil,Double glass,1.0,0.0,1.0,8.0,,0.0,apartment,4180,hamoir,Wallonia,Liege,apartment,2655.1724137931033,
rbu62590,269000.0,,5.0,111.0,,,Not specified,,0.0,1.0,1.0,,100.0,,residence,8760,meulebeke,Flanders,West Flanders,house,2423.4234234234236,2690.0
vbd37888,365200.0,New,2.0,84.0,,,,,,1.0,1.0,11.0,,,apartment,1140,evere,Brussels,Brussels,apartment,4347.619047619048,
rbu42592,160000.0,,1.0,13.0,,,Gas,Double glass,1.0,,,,,,investment-property,3000,leuven,Flanders,Brabant Flemish,investment property,12307.692307692309,
vbd47948,175000.0,,,,,,,,,,,,844.0,,land,4120,rotheux-rimiere,Wallonia,Liege,land,,207.34597156398104
vbd47405,125000.0,,,,,,Fuel oil,Double glass,0.0,,,,,,commercial-building,4180,hamoir,Wallonia,Liege,business,,
vbd46827,395000.0,,2.0,110.0,1.0,1.0,,,1.0,0.0,1.0,20.0,,,apartment,1180,ukkel,Brussels,Brussels,apartment,3590.909090909091,
vbd47136,60000.0,,,,,,,,,,,,322.0,,land,7080,frameries,Wallonia,Hainaut,land,,186.33540372670808
rbt65424,238000.0,Normal,,,,,,,0.0,,,,265.0,,commercial-building,2280,grobbendonk,Flanders,Antwerp,business,,898.1132075471698
vbd45947,129000.0,,3.0,118.0,1.0,1.0,Not specified,,,1.0,1.0,11.0,381.0,,residence,6240,farciennes,Wallonia,Hainaut,house,1093.2203389830509,338.5826771653543
rbu67150,2927400.0,New,,,,,,,1.0,,,,861.0,,office-space,9810,nazareth,Flanders,East Flanders,business,,3400.0
vbd48132,820000.0,New,3.0,130.0,,,Hot air,Double glass,1.0,0.0,1.0,19.0,,0.0,apartment,1200,sint-lambrechts-woluwe,Brussels,Brussels,apartment,6307.692307692308,
rbu62666,249000.0,Normal,2.0,85.0,1.0,1.0,Gas,,1.0,0.0,1.0,3.0,,,apartment,1020,laken,Brussels,Brussels,apartment,2929.4117647058824,
vbd45830,485000.0,Excellent,3.0,118.0,1.0,,Gas,Triple glass,1.0,0.0,1.0,,,0.0,apartment,6700,arlon,Wallonia,Luxembourg,apartment,4110.169491525424,
rbu66321,,,4.0,204.0,1.0,1.0,,,,1.0,1.0,,432.0,,residence,8300,knokke-heist,Flanders,West Flanders,house,,
